title,release_date,revenue,popularity,vote_count,vote_average,budget,runtime,adult,genre_names,collection_name
Freddy vs. Jason,2003-08-15,116643421,72.488,2084,6.0,30000000,97,false,Horror,Friday the 13th Collection
Smile,2013-12-01,0,72.103,0,0.0,10000,24,false,"Horror, Thriller",NA
Paranormal Activity,2007-09-14,194183034,71.944,4309,6.0,215000,85,false,"Horror, Mystery",Paranormal Activity Collection
No One Gets Out Alive,2021-09-29,0,71.919,459,6.0,0,85,false,"Horror, Mystery, Thriller",NA
Carrie,2002-11-04,0,71.769,379,6.1,0,132,false,"Drama, Horror, TV Movie",NA
The Craft: Legacy,2020-10-28,0,71.202,615,6.3,0,94,false,"Drama, Fantasy, Horror",The Craft Collection
Trick 'r Treat,2007-10-26,0,70.923,1457,7.0,12000000,82,false,Horror,NA
The Texas Chainsaw Massacre: The Beginning,2006-10-05,107363905,69.979,1445,6.1,16000000,91,false,"Horror, Thriller",Texas Chainsaw (Reboot) Collection
The Witch,2015-01-27,40423945,69.655,5790,6.9,3500000,92,false,"Drama, Fantasy, Horror, Mystery",NA
The Cannibal Killer: The Real Story of Jeffrey Dahmer,2020-01-15,0,69.461,1,2.0,0,0,false,Horror,NA
Get Out,2017-02-24,255407969,68.431,14721,7.6,4500000,104,false,"Horror, Mystery, Thriller",NA
The Ruins,2008-04-02,22818256,68.279,908,5.9,8000000,91,false,Horror,NA
Annabelle,2014-10-02,257047661,68.243,5341,5.7,6500000,99,false,Horror,Annabelle Collection
Halloween 4: The Return of Michael Myers,1988-10-21,17800000,68.198,1311,6.1,5000000,88,false,"Horror, Thriller",Halloween Collection
Insidious: Chapter 2,2013-09-12,161000000,68.172,3528,6.7,5000000,106,false,"Horror, Thriller",Insidious Collection
Scream,1996-12-20,173046663,67.783,5318,7.4,14000000,112,false,"Crime, Horror, Mystery",Scream Collection
The Scientist,2020-09-21,0,67.702,99,6.2,0,94,false,"Drama, Horror",NA
The Human Centipede (First Sequence),2009-04-26,252207,67.63,1772,5.2,2011799,92,false,Horror,The Human Centipede Collection
Underworld: Awakening,2012-01-19,160112671,67.467,3573,6.3,70000000,88,false,"Action, Fantasy, Horror",Underworld Collection
Final Destination 3,2006-02-09,118890272,67.459,3174,6.1,25000000,93,false,"Horror, Mystery",Final Destination Collection
Spiral: From the Book of Saw,2021-05-12,40618920,67.251,1362,6.1,20000000,93,false,"Crime, Horror, Mystery",NA
Fear Street: 1666,2021-07-14,0,66.278,1251,7.3,0,114,false,"Horror, Mystery",Fear Street Collection
Scouts Guide to the Zombie Apocalypse,2015-10-23,14860766,66.029,1580,6.5,15000000,93,false,"Comedy, Horror",NA
Witch Hunt,2021-10-01,0,65.909,210,6.9,0,92,false,"Drama, Fantasy, Horror, Thriller",NA
Sinister,2012-03-29,82515113,65.319,4563,6.8,3000000,110,false,"Horror, Mystery, Thriller",Sinister Collection
Zombieland,2009-10-07,102391540,65.001,10704,7.3,23600000,88,false,"Comedy, Horror",Zombieland Collection
Goosebumps 2: Haunted Halloween,2018-10-11,93320380,64.989,1234,6.1,35000000,90,false,"Adventure, Comedy, Family, Fantasy, Horror",Goosebumps Collection
Butchers,2020-10-15,0,64.786,152,5.0,0,93,false,Horror,NA
Final Destination 2,2003-01-31,90941129,64.18,3321,6.2,26000000,90,false,"Horror, Mystery",Final Destination Collection
Benny Loves You,2019-11-21,0,63.524,139,6.2,10000,94,false,"Comedy, Horror",NA
Truth or Dare,2018-04-12,95330493,63.521,3562,6.0,3500000,101,false,"Horror, Thriller",NA
A Quiet Place,2018-04-03,340677200,63.493,12032,7.4,17000000,91,false,"Drama, Horror, Science Fiction",A Quiet Place Collection
The Shining,1980-05-23,44781695,63.472,14911,8.2,19000000,144,false,"Horror, Thriller",The Shining Collection
Underworld: Blood Wars,2016-11-24,81093313,63.45,3221,5.8,35000000,91,false,"Action, Fantasy, Horror, Thriller",Underworld Collection
Hellraiser,1987-09-11,14575193,63.431,1933,6.9,1000000,93,false,"Fantasy, Horror",Hellraiser Collection
House of Wax,2005-04-30,68766121,63.255,2505,5.9,40000000,113,false,"Horror, Thriller",NA
The Autopsy of Jane Doe,2016-12-21,5972942,63.234,3423,6.7,0,86,false,"Horror, Mystery",NA
The Hills Have Eyes,2006-03-10,69623713,62.574,2447,6.4,15000000,107,false,"Horror, Thriller",The Hills Have Eyes (Reboot) Collection
Candyman,2021-08-25,77389310,62.465,1108,6.1,25000000,91,false,"Horror, Mystery, Thriller",Candyman Collection
Dreamcatcher,2021-03-05,0,62.464,93,6.0,0,90,false,"Horror, Mystery, Thriller",NA
Freddy's Dead: The Final Nightmare,1991-09-05,34900000,61.784,1029,5.3,11000000,89,false,"Horror, Thriller",A Nightmare on Elm Street Collection
Friday the 13th,2009-02-11,91509154,61.753,2106,5.8,19000000,97,false,Horror,NA
The Purge: Anarchy,2014-07-17,111928365,61.71,5695,6.7,9000000,104,false,"Horror, Thriller",The Purge Collection
Alone,2020-09-10,0,61.413,474,6.3,0,98,false,"Horror, Thriller",NA
Alien,1979-05-25,104931801,60.982,12083,8.1,11000000,117,false,"Horror, Science Fiction",Alien Collection
Caged,2021-01-26,0,60.884,86,6.7,0,81,false,"Horror, Thriller",NA
Terrifier,2016-10-15,0,60.726,612,6.5,100000,84,false,"Horror, Thriller",Terrifier Collection
Escape Room: Tournament of Champions,2021-07-01,44888959,60.72,1341,6.7,15000000,88,false,"Horror, Mystery, Thriller",Escape Room Collection
Jennifer's Body,2009-09-18,31556061,60.685,3104,5.8,16000000,107,false,"Comedy, Horror",NA
Wrong Turn 6: Last Resort,2014-08-22,0,60.624,664,5.3,1200000,91,false,Horror,Wrong Turn Collection
Saw II,2005-10-28,147748505,60.408,4357,6.6,4000000,89,false,Horror,Saw Collection
Megalodon,2018-08-10,5303,60.183,223,5.7,130178,90,false,"Action, Horror, Science Fiction, TV Movie",Megalodon Collection
I See You,2019-09-11,0,59.919,1041,7.0,3000000,98,false,"Crime, Horror, Mystery, Thriller",NA
Halloween II,2009-08-28,39421467,59.789,1120,5.4,10000000,105,false,Horror,Halloween (Rob Zombie Series) Collection
Drag Me to Hell,2009-03-15,90810892,59.708,3052,6.4,30000000,99,false,"Horror, Thriller",NA
Dinosaur Hotel,2021-06-11,0,59.573,63,5.2,0,77,false,"Horror, Mystery, Science Fiction",Dinosaur Hotel
Anacondas: The Hunt for the Blood Orchid,2004-08-26,0,59.552,765,5.4,0,96,false,"Action, Adventure, Horror",Anaconda Collection
Dead Silence,2007-03-16,22217407,59.495,1893,6.4,20000000,89,false,Horror,NA
Saw III,2006-10-27,164874275,59.343,3653,6.4,10000000,114,false,"Crime, Horror, Thriller",Saw Collection
Friday the 13th,1980-05-09,59754601,58.957,2289,6.4,550000,95,false,Horror,Friday the 13th Collection
Midsommar,2019-07-03,47980982,58.67,5237,7.1,9000000,147,false,"Drama, Horror, Mystery",NA
Zombieland: Double Tap,2019-10-09,122801777,58.248,4691,7.0,42000000,99,false,"Comedy, Horror",Zombieland Collection
Halloween 5: The Revenge of Michael Myers,1989-10-12,11642254,58.22,927,5.4,3000000,97,false,"Horror, Thriller",Halloween Collection
Blade,1998-08-21,131183530,57.899,4965,6.7,45000000,121,false,"Action, Horror",Blade Collection
I Spit on Your Grave,2010-06-17,572809,57.811,1836,6.5,2000000,108,false,"Crime, Horror, Thriller",I Spit on Your Grave Collection
The Texas Chain Saw Massacre,1974-10-01,30900000,57.809,2525,7.3,85000,83,false,Horror,Texas Chainsaw Massacre Collection
Phobias,2021-02-28,0,57.696,35,5.2,0,85,false,"Horror, Thriller",NA
The Cabin in the Woods,2012-04-12,71041255,57.429,6741,6.6,30000000,95,false,"Fantasy, Horror",NA
Evil Eye,2020-04-01,0,57.106,135,5.5,0,90,false,"Horror, Mystery, Thriller",NA
Sator,2019-07-21,130023,56.6,84,5.2,0,85,false,Horror,NA
The Thing,1982-06-25,19629760,56.545,5566,8.0,15000000,109,false,"Horror, Mystery, Science Fiction",The Thing Collection
Insidious: The Last Key,2018-01-03,167184112,56.103,2313,6.2,10000000,103,false,"Horror, Mystery, Thriller",Insidious Collection
Unhuman,2022-06-03,0,56.0,59,5.7,0,87,false,"Comedy, Horror",NA
Shadow in the Cloud,2020-12-31,1025190,55.991,652,5.7,0,83,false,"Action, Horror, War",NA
Texas Chainsaw 3D,2013-01-03,0,55.817,1346,5.5,10000000,92,false,"Horror, Thriller",Texas Chainsaw Massacre Collection
Paranormal Activity 3,2011-10-19,207039844,55.508,1878,5.9,5000000,94,false,"Horror, Mystery",Paranormal Activity Collection
Safer at Home,2021-02-26,0,55.177,116,5.5,0,82,false,"Horror, Thriller",NA
Saw IV,2007-10-25,139352633,54.942,3038,6.2,10000000,96,false,"Crime, Horror, Thriller",Saw Collection
Significant Other,2022-10-06,0,54.799,3,6.3,0,84,false,"Horror, Science Fiction, Thriller",NA
Porno,2019-06-28,0,54.413,249,6.4,0,98,false,"Comedy, Horror",NA
House of the Witch,2017-10-07,0,53.773,120,4.7,0,90,false,"Horror, TV Movie",NA
I Spit on Your Grave III: Vengeance is Mine,2015-10-01,0,53.578,781,5.7,0,91,false,"Horror, Thriller",I Spit on Your Grave Collection
Annihilation,2018-02-22,43070915,53.42,7378,6.4,40000000,115,false,"Horror, Science Fiction",NA
The New Mutants,2020-08-26,49169594,53.323,2819,6.2,67000000,94,false,"Action, Horror, Mystery, Science Fiction",NA
The Hills Have Eyes 2,2007-03-22,37697773,53.301,1175,5.5,15000000,89,false,"Horror, Thriller",The Hills Have Eyes (Reboot) Collection
28 Weeks Later,2007-04-26,65048678,53.104,3514,6.6,15000000,100,false,"Horror, Science Fiction, Thriller",28 Days/Weeks Later Collection
Don't Breathe,2016-06-08,159047649,53.069,6387,7.0,9900000,89,false,"Horror, Thriller",Don't Breathe Collection
The Final Destination,2009-08-26,186167139,53.023,2670,5.6,40000000,82,false,"Horror, Mystery",Final Destination Collection
Knock Knock,2015-06-26,6341684,52.877,2621,5.3,2500000,99,false,"Drama, Horror, Thriller",NA
The Exorcism of Emily Rose,2005-09-09,145166804,52.675,2333,6.5,19000000,122,false,"Crime, Drama, Horror, Thriller",NA
There's Someone Inside Your House,2021-09-24,0,52.537,476,5.6,0,96,false,"Horror, Mystery, Thriller",NA
Willy's Wonderland,2021-02-12,431020,52.535,603,6.1,5000000,88,false,"Action, Comedy, Horror",NA
Werewolves Within,2021-06-25,250811,52.511,345,6.1,6500000,97,false,"Comedy, Horror",NA
Halloween: The Curse of Michael Myers,1995-09-29,15116634,52.474,840,5.2,5000000,88,false,"Horror, Thriller",Halloween Collection
The Seventh Day,2021-03-26,0,52.293,206,5.4,0,87,false,Horror,NA
Thir13en Ghosts,2001-10-26,68467960,52.197,1695,6.2,42000000,91,false,"Horror, Thriller",NA
The Human Centipede 2 (Full Sequence),2011-10-06,0,51.967,1067,4.8,0,91,false,"Crime, Drama, Horror",The Human Centipede Collection
Deep Blue Sea 3,2020-08-25,0,51.476,227,5.8,5000000,100,false,"Action, Horror, Science Fiction",Deep Blue Sea Collection
The Mad Hatter,2021-01-29,0,51.424,50,5.7,0,90,false,"Horror, Thriller",NA
Jaws,1975-06-20,470653000,51.381,8659,7.6,7000000,124,false,"Adventure, Horror, Thriller",Jaws Collection
The Jack in the Box,2019-11-09,0,51.256,243,5.9,0,87,false,Horror,Jack in the Box Collection
Scream 2,1997-12-12,172363301,51.026,3103,6.4,24000000,120,false,"Horror, Mystery",Scream Collection
AVP: Alien vs. Predator,2004-08-12,177427090,50.996,3654,5.9,70000000,101,false,"Action, Adventure, Horror, Science Fiction",AVP Collection
Hostel,2005-09-17,81979826,50.839,3023,5.9,4800000,94,false,Horror,Hostel Collection
The Babysitter: Killer Queen,2020-09-10,0,50.778,1191,6.4,0,101,false,"Comedy, Horror",The Babysitter Collection
